103926	94
103927	35
103928	469
103929	420
103930	292
103931	281
103932	340
103933	182
103934	422
103935	475
103936	178
103937	399
103938	440
103939	426
103940	254
103941	344
103942	20
103943	144
103944	202
103945	111
103946	161
103947	195
103948	262
103949	127
103950	161
103951	288
103952	384
103953	423
103954	394
103955	227
103956	206
103957	455
103958	177
103959	210
103960	391
103961	100
103962	173
103963	245
103964	132
103965	346
103966	434
103967	359
103968	49
103969	368
103970	322
103971	318
103972	125
103973	249
103974	332
103975	141
103976	8
103977	466
103978	496
103979	342
103980	310
103981	148
103982	50
103983	20
103984	480
103985	269
103986	443
103987	324
103988	53
103989	331
103990	259
103991	66
103992	441
103993	175
103994	470
103995	25
103996	433
103997	483
103998	140
103999	310
104000	120
104001	417
104002	359
104003	91
104004	42
104005	255
104006	121
104007	295
104008	313
104009	459
104010	447
104011	291
104012	384
104013	324
104014	274
104015	103
104016	172
104017	147
104018	221
104019	401
104020	119
104021	291
104022	438
104023	261
104024	248
104025	262
